Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline,Total nodes
8,15,9993,27571072,27582608,3996,6005,10001
8,15,9993,27713550,27746907,3970,6031,10001
8,15,9994,27608289,27625222,3981,6020,10001
8,15,9994,27505832,27524844,4014,5987,10001
8,15,9997,27631233,27644918,3994,6007,10001
8,15,9996,27701992,27722840,4028,5974,10002
8,15,9998,27683717,27693148,3979,6024,10003
8,15,9991,27688017,27709095,4008,5993,10001
8,15,0,0,27588884,4006,5983,9989
8,15,9999,27529960,27555952,4044,5962,10006
8,15,9994,27491300,27510827,4066,5935,10001
8,15,0,0,27737827,3985,6003,9988
8,15,9997,27654907,27674692,3986,6015,10001
8,15,9996,27793172,27801090,3957,6044,10001
8,15,9996,27765437,27779464,3993,6009,10002
8,15,10000,27729262,27736381,3995,6006,10001
8,15,9994,27779816,27809440,3977,6024,10001
8,15,9994,27514152,27536916,4045,5956,10001
8,15,9996,27578242,27590320,4021,5980,10001
8,15,9992,27758543,27778691,3996,6005,10001
8,15,10001,27721008,27722857,3997,6007,10004
8,15,9999,27658347,27680862,4002,6003,10005
8,15,0,0,27686376,4007,5994,10001
8,15,9996,27544359,27558278,4028,5975,10003
8,15,9995,27623373,27645658,4026,5978,10004
8,15,9999,27560566,27566351,4033,5968,10001
8,15,9993,27725887,27754587,3973,6028,10001
8,15,9996,27778237,27803603,3947,6054,10001
