Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline
8,250,659,1832168,27757805,3960,6042
8,250,621,1646015,27783794,3964,6037
8,250,667,1837144,27704919,4025,5976
8,250,642,1735141,27524192,4106,5895
8,250,740,2100118,27617458,4001,6001
8,250,697,1917481,27766274,3937,6064
8,250,659,1772641,27532495,4037,5965
8,250,747,2136487,27641588,4016,5985
8,250,717,1997499,27589489,4029,5973
8,250,744,2102103,27567313,4078,5923
8,250,635,1665714,27883701,3925,6076
8,250,696,1893946,27731074,3953,6049
8,250,641,1691107,27877847,3941,6061
8,250,727,2033888,27736159,3966,6036
8,250,698,1936292,27515432,4033,5968
8,250,708,1960851,27627691,4019,5984
8,250,732,2006040,27523654,4024,5977
8,250,700,1851247,27429325,4024,5977
8,250,754,2132406,27593731,3985,6016
8,250,701,1890385,27469827,4046,5955
8,250,618,1660834,27605392,4026,5975
8,250,666,1778591,27440460,4046,5956
8,250,648,1764292,27559167,3991,6010
8,250,653,1805114,27712239,4003,5998
8,250,679,1900008,27477950,4081,5920
8,250,634,1688698,27397641,4105,5898
8,250,712,2018502,27800328,3972,6030
8,250,668,1807626,27739618,3982,6021
8,250,672,1875698,27778088,3963,6038
8,250,662,1824271,27916205,3955,6046
8,250,663,1840480,27552302,4022,5979
8,250,639,1703156,27681995,4012,5989
8,250,672,1832072,27712750,4005,5996
8,250,665,1821065,28011929,3878,6123
8,250,637,1687250,27383216,4134,5867
8,250,654,1785697,27489681,4050,5953
8,250,670,1811796,27623677,3990,6014
8,250,679,1881180,27782445,3967,6034
8,250,694,1946495,27563740,4020,5981
8,250,665,1801733,27646571,3986,6016
8,250,694,1917371,27438214,4016,5986
8,250,703,1915002,27752448,3977,6024
8,250,681,1874425,27863328,3954,6050
8,250,711,1994919,27668600,4049,5953
8,250,707,1959974,27527819,4059,5943
8,250,659,1740555,27559454,4040,5963
8,250,653,1747795,27574041,4047,5955
8,250,714,2013806,27853334,3949,6054
8,250,690,1874998,27367130,4076,5925
8,250,694,1899195,27447319,4070,5932
8,250,722,1990569,27733986,3990,6011
8,250,720,2022769,27686374,3985,6016
8,250,711,1990952,27731708,4023,5979
8,250,611,1581534,27658032,4006,5995
8,250,609,1629539,27501703,4060,5941
8,250,672,1829927,27622583,4033,5968
8,250,752,2096798,27615334,3986,6016
8,250,688,1899806,27806641,3929,6073
8,250,645,1793674,27719096,3966,6035
8,250,645,1676265,27447288,4074,5927
8,250,722,2013783,27614694,3982,6019
8,250,693,1901568,27731202,3931,6071
8,250,767,2107194,27624317,3988,6013
8,250,659,1832168,27757805,3960,6042
8,250,621,1646015,27783794,3964,6037
8,250,667,1837144,27704919,4025,5976
8,250,642,1735141,27524192,4106,5895
8,250,740,2100118,27617458,4001,6001
8,250,697,1917481,27766274,3937,6064
8,250,659,1772641,27532495,4037,5965
8,250,747,2136487,27641588,4016,5985
8,250,717,1997499,27589489,4029,5973
8,250,744,2102103,27567313,4078,5923
8,250,635,1665714,27883701,3925,6076
8,250,696,1893946,27731074,3953,6049
8,250,641,1691107,27877847,3941,6061
8,250,727,2033888,27736159,3966,6036
8,250,698,1936292,27515432,4033,5968
8,250,708,1960851,27627691,4019,5984
8,250,732,2006040,27523654,4024,5977
8,250,700,1851247,27429325,4024,5977
8,250,754,2132406,27593731,3985,6016
8,250,701,1890385,27469827,4046,5955
8,250,618,1660834,27605392,4026,5975
8,250,666,1778591,27440460,4046,5956
8,250,648,1764292,27559167,3991,6010
8,250,653,1805114,27712239,4003,5998
8,250,679,1900008,27477950,4081,5920
8,250,634,1688698,27397641,4105,5898
8,250,712,2018502,27800328,3972,6030
8,250,668,1807626,27739618,3982,6021
8,250,672,1875698,27778088,3963,6038
8,250,662,1824271,27916205,3955,6046
8,250,663,1840480,27552302,4022,5979
8,250,639,1703156,27681995,4012,5989
8,250,672,1832072,27712750,4005,5996
8,250,665,1821065,28011929,3878,6123
8,250,637,1687250,27383216,4134,5867
8,250,654,1785697,27489681,4050,5953
8,250,670,1811796,27623677,3990,6014
8,250,679,1881180,27782445,3967,6034
8,250,694,1946495,27563740,4020,5981
8,250,665,1801733,27646571,3986,6016
8,250,694,1917371,27438214,4016,5986
8,250,703,1915002,27752448,3977,6024
8,250,681,1874425,27863328,3954,6050
8,250,711,1994919,27668600,4049,5953
8,250,707,1959974,27527819,4059,5943
8,250,659,1740555,27559454,4040,5963
8,250,653,1747795,27574041,4047,5955
8,250,714,2013806,27853334,3949,6054
8,250,690,1874998,27367130,4076,5925
8,250,694,1899195,27447319,4070,5932
8,250,722,1990569,27733986,3990,6011
8,250,720,2022769,27686374,3985,6016
8,250,711,1990952,27731708,4023,5979
8,250,611,1581534,27658032,4006,5995
8,250,609,1629539,27501703,4060,5941
8,250,707,2000817,27639948,4026,5977
,,,,,,
8,250,681.6722689076,1868681.51260504,27639045.4369748,4008.6638655462,5992.9495798319
